255, 0, 121, 133
255, 0, 125, 129
255, 0, 129, 125
255, 0, 133, 121
255, 0, 137, 117
255, 0, 141, 113
255, 0, 145, 109
255, 0, 149, 105
255, 0, 153, 101
255, 0, 157, 97
255, 0, 161, 93
255, 0, 165, 89
255, 0, 170, 85
255, 0, 174, 80
255, 0, 178, 76
255, 0, 182, 72
255, 0, 186, 68
255, 0, 190, 64
255, 0, 194, 60
255, 0, 198, 56
255, 0, 202, 52
255, 0, 206, 48
255, 0, 210, 44
255, 0, 214, 40
255, 0, 218, 36
255, 0, 222, 32
255, 0, 226, 28
255, 0, 230, 24
255, 0, 234, 20
255, 0, 238, 16
255, 0, 242, 12
255, 0, 246, 8
255, 0, 250, 4
255, 0, 255, 0
255, 0, 255, 0
255, 4, 255, 0
255, 8, 255, 0
255, 12, 255, 0
255, 16, 255, 0
255, 20, 255, 0
255, 24, 255, 0
255, 28, 255, 0
255, 32, 255, 0
255, 36, 255, 0
255, 40, 255, 0
255, 44, 255, 0
255, 48, 255, 0
255, 52, 255, 0
255, 56, 255, 0
255, 60, 255, 0
255, 64, 255, 0
255, 68, 255, 0
255, 72, 255, 0
255, 76, 255, 0
255, 80, 255, 0
255, 85, 255, 0
255, 89, 255, 0
255, 93, 255, 0
255, 97, 255, 0
255, 101, 255, 0
255, 105, 255, 0
255, 109, 255, 0
255, 113, 255, 0
255, 117, 255, 0
255, 121, 255, 0
255, 125, 255, 0
255, 129, 255, 0
255, 133, 255, 0
255, 137, 255, 0
255, 141, 255, 0
255, 145, 255, 0
255, 149, 255, 0
255, 153, 255, 0
255, 157, 255, 0
255, 161, 255, 0
255, 165, 255, 0
255, 170, 255, 0
255, 174, 255, 0
255, 178, 255, 0
255, 182, 255, 0
255, 186, 255, 0
255, 190, 255, 0
255, 194, 255, 0
255, 198, 255, 0
255, 202, 255, 0
255, 206, 255, 0
255, 210, 255, 0
255, 214, 255, 0
255, 218, 255, 0
255, 222, 255, 0
255, 226, 255, 0
255, 230, 255, 0
255, 234, 255, 0
255, 238, 255, 0
255, 242, 255, 0
255, 246, 255, 0
255, 250, 255, 0
255, 255, 255, 0
255, 255, 255, 0
255, 255, 250, 0
255, 255, 246, 0
255, 255, 242, 0
255, 255, 238, 0
255, 255, 234, 0
255, 255, 230, 0
255, 255, 226, 0
255, 255, 222, 0
255, 255, 218, 0
255, 255, 214, 0
255, 255, 210, 0
255, 255, 206, 0
255, 255, 202, 0
255, 255, 198, 0
255, 255, 194, 0
255, 255, 190, 0
255, 255, 186, 0
255, 255, 182, 0
255, 255, 178, 0
255, 255, 174, 0
255, 255, 170, 0
255, 255, 165, 0
255, 255, 161, 0
255, 255, 157, 0
255, 255, 153, 0
255, 255, 149, 0
255, 255, 145, 0
255, 255, 141, 0
255, 255, 137, 0
255, 255, 133, 0
255, 255, 129, 0
255, 255, 125, 0
255, 255, 121, 0
255, 255, 117, 0
255, 255, 113, 0
255, 255, 109, 0
255, 255, 105, 0
255, 255, 101, 0
255, 255, 97, 0
255, 255, 93, 0
255, 255, 89, 0
255, 255, 85, 0
255, 255, 80, 0
255, 255, 76, 0
255, 255, 72, 0
255, 255, 68, 0
255, 255, 64, 0
255, 255, 60, 0
255, 255, 56, 0
255, 255, 52, 0
255, 255, 48, 0
255, 255, 44, 0
255, 255, 40, 0
255, 255, 36, 0
255, 255, 32, 0
255, 255, 28, 0
255, 255, 24, 0
255, 255, 20, 0
255, 255, 16, 0
255, 255, 12, 0
255, 255, 8, 0
255, 255, 4, 0
255, 255, 0, 0
